Date,Open,High,Low,Close,Volume,,
2017-02-03,34,34.8,33.5,34.05,40851,,
2017-02-02,34.55,34.95,33.8,34.5,30223,,
2017-02-01,35.35,35.35,34,34.5,15702,,
2017-01-31,35,35.85,34.35,34.6,11889,,
2017-01-30,35,36,34.85,35.2,55125,,
2017-01-27,35.2,36.5,35.2,35.45,44135,,
2017-01-26,35.7,35.7,35.7,35.7,0,,
2017-01-25,36.4,36.5,35.2,35.7,35818,,
2017-01-24,35.7,36.4,35,35.6,22091,,
2017-01-23,36.4,36.4,35.15,35.7,13071,,
2017-01-20,36,36.5,35.2,35.6,23928,,
2017-01-19,35.9,36.7,35.8,36.4,32487,,
2017-01-18,36.5,36.7,36,36.35,14303,,
2017-01-17,35.5,36.5,35.1,36.15,58204,,
2017-01-16,35.7,36.55,35,35.9,22313,,
2017-01-13,36,36.7,35,35.8,22826,,
2017-01-12,36.2,37.1,36.1,36.1,17433,,
2017-01-11,35.55,37.1,34.7,36.55,25066,,
2017-01-10,36.4,37.2,35.75,36.05,34664,,
2017-01-09,36,37.45,35.8,36.4,17257,,
2017-01-06,35.1,37.75,35.1,37.35,59413,,
2017-01-05,36.3,37.4,36.3,36.8,28588,,
2017-01-04,37,37.45,35.65,36.5,36875,,
2017-01-03,36,36.7,35.15,36.3,75200,,
2017-01-02,35,35.6,33.5,35.4,24056,,
2016-12-30,33.8,35,33,34.5,35913,,
2016-12-29,34.6,35,33.2,33.65,27010,,
2016-12-28,34.6,35.75,34.2,34.6,44183,,
2016-12-27,34,34.8,33.5,34.6,18870,,
2016-12-26,36.4,36.4,34.65,34.65,59710,,
2016-12-23,33.65,37.05,33.65,36.45,95717,,
2016-12-22,36.8,36.8,35.4,35.4,46342,,
2016-12-21,37.95,38.6,37.1,37.25,222134,,
2016-12-20,41.75,41.9,34.3,37.5,640270,,
2016-12-19,42.5,43.9,41,41.8,357936,,
2016-12-16,43.3,45.15,42,42.5,470763,,
2016-12-15,41.2,43.8,40.95,43.3,1055344,,
2016-12-14,43.45,44.2,41,41.4,706568,,
2016-12-13,42.8,46.4,40.5,43.35,2641109,,
2016-12-12,37,43.85,36.4,42.25,2680771,,
2016-12-09,34,38,33.7,37,998423,,
2016-12-08,33.8,34.45,32.9,33.55,120777,,
2016-12-07,34.5,34.5,33.1,33.25,89488,,
2016-12-06,34.45,34.8,33.6,34.4,143540,,
2016-12-05,32.85,34.7,32.4,33.75,127718,,
2016-12-02,33.5,34,32.05,32.6,162460,,
2016-12-01,35.25,35.5,33.55,33.95,141279,,
2016-11-30,32.65,35.85,32.65,34.65,446504,,
2016-11-29,31.4,34.8,31.4,32.7,225916,,
2016-11-28,30,31.75,29.2,31.4,191264,,
2016-11-25,29.05,31.1,29.05,29.75,172426,,
2016-11-24,28.85,29.8,28.1,28.9,98869,,
2016-11-23,27.05,28.75,26.8,28.55,137222,,
2016-11-22,27,27.4,26.5,27.05,70615,,
2016-11-21,26.6,27.05,26.2,26.7,134390,,
2016-11-18,27.15,27.4,26.2,26.55,75465,,
2016-11-17,27.5,27.8,26.6,27.1,79871,,
2016-11-16,27.55,27.9,25.6,27.15,131516,,
2016-11-15,29.8,29.8,26.6,26.9,213602,,
2016-11-14,29.7,29.7,29.7,29.7,0,,
2016-11-11,29.55,30.8,29.2,29.7,107576,,
2016-11-10,30.45,31.5,28.9,30.1,207855,,
2016-11-09,29.2,30.55,25,29.5,207303,,
2016-11-08,32,32,30.55,30.9,127516,,
2016-11-07,31.4,32.4,31.05,31.25,100922,,
2016-11-04,32,32.45,30.75,31.2,145985,,
2016-11-03,32.8,33.75,32.15,32.35,150398,,
2016-11-02,31.6,34.5,31.35,33.05,397721,,
2016-11-01,33.5,33.8,31.55,32.1,150819,,
2016-10-31,32.5,32.5,32.5,32.5,0,,
2016-10-28,31.8,33,31.7,32.5,126288,,
2016-10-27,32.4,32.9,31.8,32.15,73532,,
2016-10-26,33.15,33.75,32.4,32.45,151266,,
2016-10-25,34.4,34.8,33,33.3,152880,,
2016-10-24,34.8,35.65,34.2,34.45,178932,,
2016-10-21,35.75,36.4,33.2,35.05,385238,,
2016-10-20,34.65,36.45,34.35,35.6,565163,,
2016-10-19,36.3,36.4,34.4,34.65,350099,,
2016-10-18,33.75,36.75,33.4,35.95,1107847,,
2016-10-17,31,34.8,30.6,33.6,940877,,
2016-10-14,30,32.45,29.1,31.3,352052,,
2016-10-13,30.2,30.75,29.05,29.75,133314,,
2016-10-12,30.25,30.25,30.25,30.25,0,,
2016-10-11,30.25,30.25,30.25,30.25,0,,
2016-10-10,30.6,30.6,29.3,30.25,99476,,
2016-10-07,30.3,30.45,29.65,29.8,148452,,
2016-10-06,30.3,30.8,29.75,29.9,90784,,
2016-10-05,30.7,30.8,29.95,30.3,87679,,
2016-10-04,30.2,30.8,30.2,30.45,77884,,
2016-10-03,30.15,30.7,30,30.25,141853,,
2016-09-30,28.55,30.45,28.55,30.05,111250,,
2016-09-29,32.9,33.45,28.65,29.25,376391,,
2016-09-28,31,33.7,30.2,32.5,356181,,
2016-09-27,31.7,32.2,30.4,31.05,106583,,
2016-09-26,31.95,32.25,31.25,31.4,111496,,
2016-09-23,31.1,32.7,30,31.85,237130,,
2016-09-22,32.4,32.5,30.9,31.3,145768,,
2016-09-21,30.8,33.05,30.6,31.9,357958,,
2016-09-20,31.5,31.5,30.6,31.05,94348,,
2016-09-19,31.25,32.4,30.95,31.2,161907,,
2016-09-16,31.8,31.8,30.15,30.45,115928,,
2016-09-15,29.8,32.5,28.75,31.45,446142,,
2016-09-14,29.35,29.6,28.7,29.4,99761,,
2016-09-13,29.3,29.3,29.3,29.3,0,,
2016-09-12,29.05,29.9,29,29.3,102651,,
2016-09-09,29.85,30.5,29.55,29.85,99325,,
2016-09-08,30,30.5,28,29.65,145175,,
2016-09-07,30.1,30.7,29.7,30.1,67230,,
2016-09-06,29.25,30.5,28.85,30,157875,,
2016-09-05,29.8,29.8,29.8,29.8,0,,
2016-09-02,30.7,30.7,28.6,29.8,205047,,
2016-09-01,31.35,32,30.5,30.7,128209,,
2016-08-31,30.95,31.55,30.8,31,114795,,
2016-08-30,31.1,31.75,31.05,31.2,137309,,
2016-08-29,31.8,31.8,30.75,31,99328,,
2016-08-26,31.55,32.2,31,31.35,99276,,
2016-08-25,31.55,32.6,31.3,31.6,113874,,
2016-08-24,31.45,32.8,31.1,31.75,113999,,
2016-08-23,31.9,32.45,31.1,31.45,97861,,
2016-08-22,31.6,33.2,30.45,31.9,166584,,
2016-08-19,30.85,31.5,30.25,31.1,108378,,
2016-08-18,29.6,32.2,29.5,30.65,185558,,
2016-08-17,29.05,30.75,29,29.85,139410,,
2016-08-16,29.5,30.2,28.5,29.4,116497,,
2016-08-15,29.55,29.55,29.55,29.55,0,,
2016-08-12,30.4,30.95,29.5,29.55,73343,,
2016-08-11,31.15,31.2,29.5,29.85,106264,,
2016-08-10,32.15,32.15,30.7,30.85,160005,,
2016-08-09,32.6,33.45,31.6,31.8,108923,,
2016-08-08,33.45,33.75,32.3,32.45,104488,,
2016-08-05,32.4,33.55,32.4,32.95,80192,,
2016-08-04,33.05,33.9,32.5,32.6,104317,,
2016-08-03,32.95,34,32.2,32.9,131368,,
2016-08-02,34.3,34.3,32.7,32.95,97513,,
2016-08-01,34.7,34.9,33.6,34.1,156097,,
2016-07-29,34.75,34.95,34,34.05,109480,,
2016-07-28,34.8,35.45,34.3,34.5,80053,,
